start	end	strand	name	symbol	locus_tag
410	1750	+	chromosomal replication initiator protein DnaA	dnaA	BSUA_RS00005
1939	3075	+	DNA polymerase III subunit beta	dnaN	BSUA_RS00010
3206	3421	+	ribosome maturation protein RlbA	rlbA	BSUA_RS00015
3437	4549	+	DNA replication/repair protein RecF	recF	BSUA_RS00020
4567	4812	+	extracellular matrix regulator RemB	remB	BSUA_RS00025
4867	6783	+	DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	BSUA_RS00030
6994	9459	+	DNA topoisomerase (ATP-hydrolyzing) subunit A	gyrA	BSUA_RS00035
14847	15794	-	YaaC family protein	yaaC	BSUA_RS00065
15915	17381	+	IMP dehydrogenase	guaB	BSUA_RS00070
17534	18865	+	D-alanyl-D-alanine carboxypeptidase	dacA	BSUA_RS00075
19062	19946	+	pyridoxal 5'-phosphate synthase lyase subunit PdxS	pdxS	BSUA_RS00080
19968	20558	+	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	pdxT	BSUA_RS00085
20880	22157	+	serine--tRNA ligase	serS	BSUA_RS00090
22496	23149	-	deoxyadenosine/deoxycytidine kinase	dck	BSUA_RS00100
23146	23769	-	deoxyguanosine kinase	dgk	BSUA_RS00105
23868	25151	-	glycoside hydrolase family 18 protein	sleL	BSUA_RS00110
25221	25766	-	cysteine hydrolase	yaaI	BSUA_RS00115
25852	26337	+	tRNA adenosine(34) deaminase TadA	tadA	BSUA_RS00120
26420	26684	+		ffs	BSUA_RS22130
26814	28505	+	DNA polymerase III subunit gamma/tau	dnaX	BSUA_RS00125
28529	28852	+	YbaB/EbfC family nucleoid-associated protein	ebfC	BSUA_RS00130
28867	29463	+	recombination protein RecR	recR	BSUA_RS00135
29481	29705	+	YaaL family protein	yaaL	BSUA_RS00140
29772	30035	+	sigma-K factor-processing regulator BofA	bofA	BSUA_RS00145
35531	35725	+	anti-sigma-G factor	csfB	BSUA_RS00175
35845	36459	+	5-bromo-4-chloroindolyl phosphate hydrolysis family protein	xpaC	BSUA_RS00180
36478	37638	+	toxic anion resistance protein	yaaN	BSUA_RS00185
37720	39162	+	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	yaaO	BSUA_RS00190
39159	39797	+	dTMP kinase	tmk	BSUA_RS00195
39871	40200	+	cyclic di-AMP receptor DarA	darA	BSUA_RS00200
40213	40653	+	YaaR family protein	yaaR	BSUA_RS00205
40665	41654	+	DNA polymerase III subunit delta'	holB	BSUA_RS00210
41657	42484	+	competence/sporulation regulator complex protein RicT	ricT	BSUA_RS00215
42499	42858	+	replication initiation-control protein YabA	yabA	BSUA_RS00220
42917	43660	+	tRNA1(Val) (adenine(37)-N6)-methyltransferase	trmNF	BSUA_RS00225
43647	43946	+	GIY-YIG nuclease family protein	yazA	BSUA_RS00230
43921	44799	+	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI	BSUA_RS00235
44848	45138	-	transition state genes transcriptional regulator AbrB	abrB	BSUA_RS00240
45633	47627	+	methionine--tRNA ligase	metG	BSUA_RS00245
47706	48473	+	TatD family hydrolase	dayD	BSUA_RS00250
48629	49942	+	DUF348 domain-containing protein	yabE	BSUA_RS00255
50087	50647	+	ribonuclease M5	rnmV	BSUA_RS00260
50640	51518	+	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	rsmA	BSUA_RS00265
51680	52552	+	sporulation-specific protease PrtG	prtG	BSUA_RS00270
52763	53023	+	protein Veg	veg	BSUA_RS00275
53183	53368	+	"small, acid-soluble spore protein, alpha/beta type"	sspF	BSUA_RS00280
53516	54385	+	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	ispE	BSUA_RS00285
54441	55298	+	pur operon repressor	purR	BSUA_RS00290
55295	55672	+	RidA family protein	ridA	BSUA_RS00295
55866	56159	+	septation regulator SpoVG	spoVG	BSUA_RS00300
56352	57722	+	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	glmU	BSUA_RS00310
57745	58698	+	ribose-phosphate diphosphokinase	prs	BSUA_RS00315
58783	59397	+	50S ribosomal protein L25/general stress protein Ctc	ctc	BSUA_RS00320
59504	60070	+	aminoacyl-tRNA hydrolase	pth	BSUA_RS00325
60130	60360	+	anti-sigma-F factor Fin	fin	BSUA_RS00330
60430	63963	+	transcription-repair coupling factor	mfd	BSUA_RS00335
64099	64635	+	stage V sporulation protein T	spoVT	BSUA_RS00340
64817	66415	+	polysaccharide biosynthesis protein	yabM	BSUA_RS00345
66405	67874	+	nucleoside triphosphate pyrophosphohydrolase	mazG	BSUA_RS00350
67877	68137	+	RNA-binding S4 domain-containing protein	hslR	BSUA_RS00355
68216	68518	+	sporulation protein YabP	yabP	BSUA_RS00360
68515	69150	+	spore cortex biosynthesis protein YabQ	yabQ	BSUA_RS00365
69168	69545	+	cell division protein DivIC	divIC	BSUA_RS00370
69626	70012	+	RNA-binding protein S1	yabR	BSUA_RS00375
70538	73021	+	stage II sporulation protein E	spoIIE	BSUA_RS00390
73106	73843	+	VWA domain-containing protein	yabS	BSUA_RS00395
73809	74825	+	serine/threonine protein kinase PrkT	prkT	BSUA_RS00400
74929	76347	+	tRNA lysidine(34) synthetase TilS	tilS	BSUA_RS00405
76344	76886	+	hypoxanthine phosphoribosyltransferase	hpt	BSUA_RS00410
76984	78897	+	ATP-dependent zinc metalloprotease FtsH	ftsH	BSUA_RS00415
79092	79868	+	type III pantothenate kinase	coaX	BSUA_RS00420
79880	80755	+	redox-regulated molecular chaperone HslO	hslO	BSUA_RS00425
80802	81695	+	peptidyl-prolyl cis-trans isomerase	yacD	BSUA_RS00430
81771	82697	+	cysteine synthase A	cysK	BSUA_RS00435
82864	84276	+	anthranilate synthase component I family protein	pabB	BSUA_RS00440
84290	84874	+	aminodeoxychorismate/anthranilate synthase component II	pabA	BSUA_RS00445
84874	85755	+	aminodeoxychorismate lyase	pabC	BSUA_RS00450
85737	86594	+	dihydropteroate synthase	folP	BSUA_RS00455
86587	86949	+	dihydroneopterin aldolase	folB	BSUA_RS00460
86946	87449	+	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK	BSUA_RS00465
87401	87610	+	helix-turn-helix transcriptional regulator	yazB	BSUA_RS00470
87634	88635	+	tRNA dihydrouridine synthase DusB	dusB	BSUA_RS00475
88727	90226	+	lysine--tRNA ligase	lysS	BSUA_RS00480
101449	101913	+	transcriptional regulator CtsR	ctsR	BSUA_RS00565
101927	102484	+		mcsA	BSUA_RS00570
102484	103575	+	protein arginine kinase	mcsB	BSUA_RS00575
103572	106004	+	ATP-dependent protease ATP-binding subunit ClpC	clpC	BSUA_RS00580
106096	107472	+	DNA repair protein RadA	radA	BSUA_RS00585
107476	108558	+	DNA integrity scanning diadenylate cyclase DisA	disA	BSUA_RS00590
108674	109774	+	PIN/TRAM domain-containing protein	yacL	BSUA_RS00595
109789	110487	+	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	ispD	BSUA_RS00600
110480	110956	+	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	ispF	BSUA_RS00605
111047	112498	+	glutamate--tRNA ligase	gltX	BSUA_RS00610
112800	113453	+	serine O-acetyltransferase	cysE	BSUA_RS00620
113450	114850	+	cysteine--tRNA ligase	cysS	BSUA_RS00625
114854	115285	+	mini-ribonuclease 3	mrnC	BSUA_RS00630
115269	116018	+	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	rlmB	BSUA_RS00635
116025	116537	+	ribosome-dependent mRNA decay endonuclease Rae1/YacP	rae1	BSUA_RS00640
116600	117256	+	RNA polymerase sporulation sigma factor SigH	sigH	BSUA_RS00645
117349	117498	+	50S ribosomal protein L33	rpmG	BSUA_RS00650
117532	117711	+	preprotein translocase subunit SecE	secE	BSUA_RS00655
117890	118423	+	transcription termination/antitermination protein NusG	nusG	BSUA_RS00660
118591	119016	+	50S ribosomal protein L11	rplK	BSUA_RS00665
119111	119809	+	50S ribosomal protein L1	rplA	BSUA_RS00670
120061	120561	+	50S ribosomal protein L10	rplJ	BSUA_RS00675
120607	120978	+	50S ribosomal protein L7/L12	rplL	BSUA_RS00680
121068	121673	+	class I SAM-dependent methyltransferase	rlmG	BSUA_RS00685
121919	125500	+	DNA-directed RNA polymerase subunit beta	rpoB	BSUA_RS00690
125562	129161	+	DNA-directed RNA polymerase subunit beta'	rpoC	BSUA_RS00695
129340	129588	+	50S ribosomal protein L7ae-like protein	rulS	BSUA_RS00700
129702	130118	+	30S ribosomal protein S12	rpsL	BSUA_RS00705
130160	130630	+	30S ribosomal protein S7	rpsG	BSUA_RS00710
130684	132762	+	elongation factor G	fusA	BSUA_RS00715
132882	134072	+	elongation factor Tu	tuf	BSUA_RS00720
134171	135127	+	alpha/beta hydrolase	ybaC	BSUA_RS00725
135364	135672	+	30S ribosomal protein S10	rpsJ	BSUA_RS00730
135712	136341	+	50S ribosomal protein L3	rplC	BSUA_RS00735
136369	136992	+	50S ribosomal protein L4	rplD	BSUA_RS00740
136992	137279	+	50S ribosomal protein L23	rplW	BSUA_RS00745
137311	138144	+	50S ribosomal protein L2	rplB	BSUA_RS00750
138202	138480	+	30S ribosomal protein S19	rpsS	BSUA_RS00755
138497	138838	+	50S ribosomal protein L22	rplV	BSUA_RS00760
138842	139498	+	30S ribosomal protein S3	rpsC	BSUA_RS00765
139500	139934	+	50S ribosomal protein L16	rplP	BSUA_RS00770
139924	140124	+	50S ribosomal protein L29	rpmC	BSUA_RS00775
140147	140410	+	30S ribosomal protein S17	rpsQ	BSUA_RS00780
140451	140819	+	50S ribosomal protein L14	rplN	BSUA_RS00785
140857	141168	+	50S ribosomal protein L24	rplX	BSUA_RS00790
141195	141734	+	50S ribosomal protein L5	rplE	BSUA_RS00795
141757	141942	+	30S ribosomal protein S14	rpsN	BSUA_RS00800
141974	142372	+	30S ribosomal protein S8	rpsH	BSUA_RS00805
142402	142941	+	50S ribosomal protein L6	rplF	BSUA_RS00810
142974	143336	+	50S ribosomal protein L18	rplR	BSUA_RS00815
143361	143861	+	30S ribosomal protein S5	rpsE	BSUA_RS00820
143875	144054	+	50S ribosomal protein L30	rpmD	BSUA_RS00825
144085	144525	+	50S ribosomal protein L15	rplO	BSUA_RS00830
144527	145822	+	preprotein translocase subunit SecY	secY	BSUA_RS00835
145877	146530	+	adenylate kinase	adk	BSUA_RS00840
146527	147273	+	type I methionyl aminopeptidase	map	BSUA_RS00845
147312	147607	+	RNA-binding protein		BSUA_RS00850
147585	147803	+	translation initiation factor IF-1	infA	BSUA_RS00855
147837	147950	+	50S ribosomal protein L36	rpmJ	BSUA_RS00860
147973	148338	+	30S ribosomal protein S13	rpsM	BSUA_RS00865
148359	148754	+	30S ribosomal protein S11	rpsK	BSUA_RS00870
148931	149875	+	DNA-directed RNA polymerase subunit alpha	rpoA	BSUA_RS00875
149953	150315	+	50S ribosomal protein L17	rplQ	BSUA_RS00880
150443	151288	+	energy-coupling factor ABC transporter ATP-binding protein	ecfA	BSUA_RS00885
151264	152133	+	energy-coupling factor ABC transporter ATP-binding protein	ecfAB	BSUA_RS00890
152130	152927	+	energy-coupling factor transporter transmembrane protein EcfT	ecfT	BSUA_RS00895
152937	153680	+	tRNA pseudouridine(38-40) synthase TruA	truA	BSUA_RS00900
153842	154279	+	50S ribosomal protein L13	rplM	BSUA_RS00905
154300	154692	+	30S ribosomal protein S9	rpsI	BSUA_RS00910
155156	155923	+	class I SAM-dependent methyltransferase	ybaJ	BSUA_RS00915
156109	156552	+	YbaK family protein	ybaK	BSUA_RS00920
156612	157325	+	N-acetylmuramoyl-L-alanine amidase CwlD	cwlD	BSUA_RS00925
157421	158479	+	iron-sulfur carrier protein/transcriptional regulator SalA	salA	BSUA_RS00930
158515	159072	-	spore germination protein GerD	gerD	BSUA_RS00935
159182	159778	+	KinB-signaling pathway activation protein	kbaA	BSUA_RS00940
159779	160543	-	polysaccharide deacetylase family sporulation protein PdaB	pdaB	BSUA_RS00945
177091	178527	+	SulP family inorganic anion transporter	ybaR	BSUA_RS01030
178673	179593	+	bile acid:sodium symporter family protein	ybaS	BSUA_RS01035
179603	180355	-	alpha/beta hydrolase	eesA	BSUA_RS01040
180352	181362	-	iron ABC transporter permease FeuC	feuC	BSUA_RS01045
181355	182359	-	iron ABC transporter permease	feuB	BSUA_RS01050
182378	183331	-	iron ABC transporter substrate-binding protein FeuA	feuA	BSUA_RS01055
183422	185011	-	bacillibactin transport transcriptional regulator Btr	btr	BSUA_RS01060
185202	186446	-	DUF1343 domain-containing protein	ybbC	BSUA_RS01065
186460	188388	-	beta-N-acetylhexosaminidase	nagZ	BSUA_RS01070
188416	189741	-	N-acetylmuramoyl-L-alanine amidase	amiE	BSUA_RS01075
189798	191165	-	PTS transporter subunit EIIC	murP	BSUA_RS01080
191191	192042	-	MurR/RpiR family transcriptional regulator	murR	BSUA_RS01085
192059	192973	-	N-acetylmuramic acid 6-phosphate etherase	murQ	BSUA_RS01090
193083	193565	-	GNAT family N-acetyltransferase	ybbJ	BSUA_RS01095
193578	194033	-	DUF523 domain-containing protein	ybbK	BSUA_RS01100
194857	195420	+	RNA polymerase sigma factor SigW	sigW	BSUA_RS01130
195434	196060	+	anti-sigma-W factor RsiW	rsiW	BSUA_RS01135
196221	197042	+	diadenylate cyclase CdaA	cdaA	BSUA_RS01140
197035	198486	+	CdaA regulatory protein CdaR	cdaR	BSUA_RS01145
198505	199851	+	phosphoglucosamine mutase	glmM	BSUA_RS01150
200285	202087	+	glutamine--fructose-6-phosphate transaminase (isomerizing)	glmS	BSUA_RS01155
202134	202274	+	hypothetical protein		BSUA_RS22660
202555	203466	-	DNA-3-methyladenine glycosidase II	alkA	BSUA_RS01160
203737	204372	+	bifunctional transcriptional activator/DNA repair enzyme AdaA	adaA	BSUA_RS01165
204359	204898	+	methylated-DNA--[protein]-cysteine S-methyltransferase	adaB	BSUA_RS01170
205417	206934	+	NADH dehydrogenase subunit 5	ndhF	BSUA_RS01175
206949	209564	+	YbcC family protein	ybcC	BSUA_RS01180
209641	210168	+	carbonic anhydrase	ybcF	BSUA_RS01185
210232	210522	+	hypothetical protein		BSUA_RS01190
210580	210954	+	DUF2294 domain-containing protein	ybcI	BSUA_RS01195
211437	211739	+	helix-turn-helix domain-containing protein	ybzH	BSUA_RS01205
211867	213039	+	MFS transporter	ybcL	BSUA_RS01210
213135	213477	+	glutamine--fructose-6-phosphate aminotransferase		BSUA_RS01215
213949	214116	+	sporulation killing factor	skfA	BSUA_RS01220
214183	215415	+	sporulation killing factor system radical SAM maturase	skfB	BSUA_RS01225
215412	216902	+	sporulation killing factor biosynthesis protein SkfC	skfC	BSUA_RS01230
216921	217640	+	sporulation killing factor ABC transporter ATP-binding protein SkfE	skfE	BSUA_RS01235
217633	219048	+	sporulation killing factor system integral membrane protein	skfF	BSUA_RS01240
219095	219610	+	sporulation killing factor biosynthesis/export protein SkfG	skfG	BSUA_RS01245
219615	220040	+	sporulation killing factor biosynthesis/export protein SkfH	skfH	BSUA_RS01250
220287	221264	+	alpha/beta hydrolase	ybdG	BSUA_RS01255
221266	221937	+	two-component system response regulator YbdJ	ybdJ	BSUA_RS01260
221934	222920	+	two-component system sensor histidine kinase YbdK	ybdK	BSUA_RS01265
222979	223242	+	hypothetical protein		BSUA_RS01270
223227	223997	-	protein kinase	ybdM	BSUA_RS01275
224083	224940	-	hypothetical protein		BSUA_RS01280
225072	226256	+	DUF4885 domain-containing protein	ybdO	BSUA_RS01285
226574	227962	+	amino acid permease	ybxG	BSUA_RS01290
228074	228322	+	sigma-G-dependent sporulation-specific acid-soluble spore protein CsgA	csgA	BSUA_RS01295
228339	228530	+	DUF5370 family protein	ybxH	BSUA_RS01300
228557	229360	-	class D beta-lactamase	blaOXA	BSUA_RS01305
229533	230786	+	fatty-acid peroxygenase	cypC	BSUA_RS01310
230827	231087	-	hypothetical protein		BSUA_RS01315
231356	232975	+	APC family permease	ybeC	BSUA_RS01320
233022	233903	-	glycerophosphodiester phosphodiesterase	glpQA	BSUA_RS01325
234002	235336	-	glycerol-3-phosphate transporter	glpT	BSUA_RS01330
235633	235881	+	YbeF family protein	ybeF	BSUA_RS01335
235973	236890	+	helix-turn-helix domain-containing GNAT family N-acetyltransferase	ybfA	BSUA_RS01340
236887	238137	+	MFS transporter	ybfB	BSUA_RS01345
238652	239563	-	hypothetical protein		BSUA_RS01355
239652	241850	-	DUF1906 domain-containing protein	ybfG	BSUA_RS01360
241925	242845	-	DMT family transporter	ybfH	BSUA_RS01365
242842	243669	-	AraC family transcriptional regulator	ybfI	BSUA_RS01370
243900	245054	+	phosphoribosylglycinamide formyltransferase 2	purT	BSUA_RS01375
245198	246139	+	extracellular metalloprotease Mpr	mpr	BSUA_RS01380
246102	246500	+	YbfJ family protein	ybfJ	BSUA_RS01385
246666	247556	+	enantioselective carboxylesterase CesB	cesB	BSUA_RS01390
247752	248285	+	CDP-diacylglycerol--serine O-phosphatidyltransferase	pssA	BSUA_RS01395
248276	248764	+	DedA family protein	ybfM	BSUA_RS01400
248757	249548	+	phosphatidylserine decarboxylase	psd	BSUA_RS01405
249603	249881	+	hypothetical protein		BSUA_RS01410
249987	251327	+	erythromycin esterase family protein	ybfO	BSUA_RS01415
251435	252322	+	helix-turn-helix domain-containing protein	ybfP	BSUA_RS01420
252522	253490	+	rhodanese-related sulfurtransferase	ybfQ	BSUA_RS01425
253526	254770	-	glutamate-aspartate/proton symporter GltP	gltP	BSUA_RS01430
254915	256810	-	glucose-specific PTS transporter subunit IIBC	ptsG	BSUA_RS01435
256831	257580	-	glucosamine-6-phosphate deaminase	nagB	BSUA_RS01440
257799	258506	+	transcriptional regulator GamR	gamR	BSUA_RS01445
258540	258815	+	SdpI family protein	ybgB	BSUA_RS01450
259024	260094	+	branched-chain amino acid aminotransferase	ilvE	BSUA_RS01455
260131	261543	-	S-methylmethionine permease	mmuP	BSUA_RS01460
261664	262611	-	homocysteine S-methyltransferase	mmuM	BSUA_RS01465
262740	264176	-	alanine:cation symporter family protein	glnT	BSUA_RS01475
264199	265182	-	glutaminase	glsA	BSUA_RS01480
265484	266716	+	two-component system sensor histidine kinase GlnK	glnK	BSUA_RS01485
266727	267671	+	glutamine utilization two-component system response regulator GlnL	glnL	BSUA_RS01490
267898	268824	+	5-dehydro-4-deoxyglucarate dehydratase	kdgD	BSUA_RS01495
268854	270320	+	aldehyde dehydrogenase family protein	gucD	BSUA_RS01500
270404	271771	+	glucarate transporter GudP	gudP	BSUA_RS01505
271808	273175	+	glucarate dehydratase	gudD	BSUA_RS01510
273245	273946	+	FadR family transcriptional regulator	garR	BSUA_RS01515
274037	275569	+	galactarate dehydratase	garD	BSUA_RS01520
275846	276766	+	macrolide 2'-phosphotransferase MphK	mphK	BSUA_RS01525
277168	277329	+	anti-TRAP regulator	rtpA	BSUA_RS01530
277350	278288	+	DMT family transporter	ycbK	BSUA_RS01535
278385	279065	+	two-component system response regulator YcbL	ycbL	BSUA_RS01540
279067	280002	+	two-component system sensor histidine kinase YcbM	ycbM	BSUA_RS01545
280094	281017	+	ABC transporter ATP-binding protein	ycbN	BSUA_RS01550
281036	281722	+	ABC transporter permease	ycbO	BSUA_RS01555
281683	281817	-			BSUA_RS22665
281777	282163	-	YndM family protein	ycbP	BSUA_RS01560
282477	282905	+	cell wall hydrolase CwlJ	cwlJ	BSUA_RS01570
283011	283742	+	VWA domain-containing protein	ycbR	BSUA_RS01575
283824	284000	+	hypothetical protein		BSUA_RS01580
284019	285770	+	alkaline phosphatase PhoD	phoD	BSUA_RS01585
285783	285995	+	sec-independent protein translocase protein TatAD	tatAD	BSUA_RS01590
286056	286784	+	twin-arginine translocase subunit TatC	tatC	BSUA_RS01595
286781	287428	-	pyroglutamyl-peptidase I	pcp	BSUA_RS01600
287507	288619	+	aminotransferase class V-fold PLP-dependent enzyme	ycbU	BSUA_RS01605
288661	290100	-	lincomycin efflux MFS transporter Lmr(B)	lmr(B)	BSUA_RS01610
290140	290706	-	transcriptional regulator LmrA	lmrA	BSUA_RS01615
290923	292050	+	asparaginase AnsZ	ansZ	BSUA_RS01620
292213	292851	+	lipase LipA	lipA	BSUA_RS01625
292889	293272	-	RDD family protein	yczC	BSUA_RS01630
293507	294583	+	SEC-C domain-containing protein	yccF	BSUA_RS01635
294623	295579	-	two-component system sensor histidine kinase NatK	natK	BSUA_RS01640
295592	296293	-	two-component system response regulator NatR	natR	BSUA_RS01645
296437	297177	+	sodium ABC transporter ATP-binding protein NatA	natA	BSUA_RS01650
297178	298338	+	sodium ABC transporter permease NatB	natB	BSUA_RS01655
298474	299406	+	aldo/keto reductase	yccK	BSUA_RS01660
299446	300510	-	DUF4352 domain-containing protein	ycdA	BSUA_RS01665
300533	300664	-			BSUA_RS22670
300838	302256	+	DUF4901 domain-containing protein	ycdB	BSUA_RS01670
302443	303804	+	DUF4901 domain-containing protein	ycdC	BSUA_RS01675
303812	304315	-	peptidoglycan L-alanyl-D-glutamate endopeptidase CwlK	cwlK	BSUA_RS01680
304438	305559	+	response regulator aspartate phosphatase RapJ	rapJ	BSUA_RS01685
305666	306442	+	SDR family oxidoreductase	ycdF	BSUA_RS01690
